;--------------------------------------------------------------------------------
;4 Results in list format
;--------------------------------------------------------------------------------

Plate	Repeat	Well	Type	Lum 1536 Jason	
4	1	 A01	M	6252.33
4	1	 A02	M	5784.16
4	1	 A03	M	7019.56
4	1	 A04	M	7675.04
4	1	 A05	M	7237.63
4	1	 A06	M	7446.97
4	1	 A07	M	6834.43
4	1	 A08	M	7349.03
4	1	 A09	M	7144.24
4	1	 A10	M	7346.61
4	1	 A11	M	7430.21
4	1	 A12	M	7523.87
4	1	 A13	M	7158.98
4	1	 A14	M	7003.55
4	1	 A15	M	7474.80
4	1	 A16	M	6793.93
4	1	 A17	M	7836.77
4	1	 A18	M	7460.02
4	1	 A19	M	7497.95
4	1	 A20	M	7137.15
4	1	 A21	M	7925.05
4	1	 A22	M	7015.42
4	1	 A23	M	7781.55
4	1	 A24	M	7558.53
4	1	 A25	M	190.45
4	1	 A26	M	5327.03
4	1	 A27	M	6809.85
4	1	 A28	M	7466.20
4	1	 A29	M	7087.43
4	1	 A30	M	6906.79
4	1	 A31	M	7606.67
4	1	 A32	M	6901.31
4	1	 A33	M	6696.15
4	1	 A34	M	7256.47
4	1	 A35	M	7283.23
4	1	 A36	M	7284.90
4	1	 A37	M	7010.10
4	1	 A38	M	7671.68
4	1	 A39	M	7124.55
4	1	 A40	M	7000.91
4	1	 A41	M	7618.99
4	1	 A42	M	7012.89
4	1	 A43	M	6978.92
4	1	 A44	M	7787.78
4	1	 A45	M	7445.93
4	1	 A46	M	7890.85
4	1	 A47	M	7655.30
4	1	 A48	M	111.85
4	1	 B01	M	8752.02
4	1	 B02	M	216.07
4	1	 B03	M	119.73
4	1	 B04	M	129.75
4	1	 B05	M	166.90
4	1	 B06	M	1897.67
4	1	 B07	M	4887.42
4	1	 B08	M	6359.08
4	1	 B09	M	6895.84
4	1	 B10	M	6689.82
4	1	 B11	M	6333.43
4	1	 B12	M	6787.64
4	1	 B13	M	6402.92
4	1	 B14	M	6713.28
4	1	 B15	M	7186.70
4	1	 B16	M	7127.31
4	1	 B17	M	7122.64
4	1	 B18	M	7092.40
4	1	 B19	M	7198.38
4	1	 B20	M	7368.10
4	1	 B21	M	7455.29
4	1	 B22	M	7055.10
4	1	 B23	M	7006.60
4	1	 B24	M	7163.12
4	1	 B25	M	126.61
4	1	 B26	M	100.33
4	1	 B27	M	116.71
4	1	 B28	M	130.25
4	1	 B29	M	161.57
4	1	 B30	M	2060.46
4	1	 B31	M	4951.63
4	1	 B32	M	6068.96
4	1	 B33	M	6376.58
4	1	 B34	M	6469.83
4	1	 B35	M	6644.86
4	1	 B36	M	6461.38
4	1	 B37	M	6871.89
4	1	 B38	M	6359.34
4	1	 B39	M	6992.11
4	1	 B40	M	6881.38
4	1	 B41	M	6971.03
4	1	 B42	M	6564.01
4	1	 B43	M	6960.21
4	1	 B44	M	7111.46
4	1	 B45	M	7203.68
4	1	 B46	M	7152.86
4	1	 B47	M	7290.88
4	1	 B48	M	114.60
4	1	 C01	M	8715.72
4	1	 C02	M	653.43
4	1	 C03	M	299.86
4	1	 C04	M	200.39
4	1	 C05	M	467.27
4	1	 C06	M	290.38
4	1	 C07	M	675.53
4	1	 C08	M	491.31
4	1	 C09	M	791.67
4	1	 C10	M	388.01
4	1	 C11	M	361.27
4	1	 C12	M	480.38
4	1	 C13	M	448.62
4	1	 C14	M	599.20
4	1	 C15	M	591.38
4	1	 C16	M	764.75
4	1	 C17	M	1547.40
4	1	 C18	M	1982.38
4	1	 C19	M	2348.53
4	1	 C20	M	2686.43
4	1	 C21	M	2984.06
4	1	 C22	M	4261.14
4	1	 C23	M	4284.44
4	1	 C24	M	6853.68
4	1	 C25	M	125.71
4	1	 C26	M	234.31
4	1	 C27	M	296.75
4	1	 C28	M	251.20
4	1	 C29	M	246.17
4	1	 C30	M	266.44
4	1	 C31	M	322.02
4	1	 C32	M	415.59
4	1	 C33	M	360.90
4	1	 C34	M	380.06
4	1	 C35	M	381.29
4	1	 C36	M	512.09
4	1	 C37	M	410.40
4	1	 C38	M	534.71
4	1	 C39	M	521.37
4	1	 C40	M	994.46
4	1	 C41	M	1549.60
4	1	 C42	M	1569.42
4	1	 C43	M	1868.96
4	1	 C44	M	2695.67
4	1	 C45	M	3291.73
4	1	 C46	M	3833.78
4	1	 C47	M	4339.40
4	1	 C48	M	80.06
4	1	 D01	M	8735.51
4	1	 D02	M	7800.25
4	1	 D03	M	7053.91
4	1	 D04	M	7525.53
4	1	 D05	M	7149.10
4	1	 D06	M	7243.32
4	1	 D07	M	7152.08
4	1	 D08	M	7052.46
4	1	 D09	M	7325.20
4	1	 D10	M	7418.07
4	1	 D11	M	7093.19
4	1	 D12	M	6366.58
4	1	 D13	M	6415.15
4	1	 D14	M	7032.45
4	1	 D15	M	7026.31
4	1	 D16	M	6986.49
4	1	 D17	M	6993.04
4	1	 D18	M	7247.33
4	1	 D19	M	7055.50
4	1	 D20	M	7084.25
4	1	 D21	M	7062.93
4	1	 D22	M	7589.92
4	1	 D23	M	7358.01
4	1	 D24	M	7138.96
4	1	 D25	M	211.88
4	1	 D26	M	7089.00
4	1	 D27	M	7228.14
