;--------------------------------------------------------------------------------
;4 Results in list format
;--------------------------------------------------------------------------------

Plate	Repeat	Well	Type	Lum 1536 Jason	
1	1	 A01	M	7629.46
1	1	 A02	M	5054.38
1	1	 A03	M	7130.65
1	1	 A04	M	3895.51
1	1	 A05	M	6803.13
1	1	 A06	M	3776.54
1	1	 A07	M	5644.07
1	1	 A08	M	4085.40
1	1	 A09	M	5548.29
1	1	 A10	M	4757.76
1	1	 A11	M	5774.48
1	1	 A12	M	4865.07
1	1	 A13	M	6375.17
1	1	 A14	M	3728.75
1	1	 A15	M	6171.65
1	1	 A16	M	4533.62
1	1	 A17	M	5525.07
1	1	 A18	M	5167.88
1	1	 A19	M	6481.99
1	1	 A20	M	4227.19
1	1	 A21	M	6400.20
1	1	 A22	M	4249.13
1	1	 A23	M	5342.86
1	1	 A24	M	4975.11
1	1	 A25	M	4916.07
1	1	 A26	M	2830.96
1	1	 A27	M	5797.93
1	1	 A28	M	4515.50
1	1	 A29	M	6098.40
1	1	 A30	M	2297.14
1	1	 A31	M	5631.50
1	1	 A32	M	1732.36
1	1	 A33	M	5809.65
1	1	 A34	M	114.65
1	1	 A35	M	6355.18
1	1	 A36	M	3345.81
1	1	 A37	M	5213.41
1	1	 A38	M	110.02
1	1	 A39	M	6426.43
1	1	 A40	M	117.98
1	1	 A41	M	5908.37
1	1	 A42	M	4752.03
1	1	 A43	M	5114.24
1	1	 A44	M	99.32
1	1	 A45	M	4762.57
1	1	 A46	M	130.62
1	1	 A47	M	5821.78
1	1	 A48	M	4755.94
1	1	 B01	M	6872.42
1	1	 B02	M	4197.64
1	1	 B03	M	5620.27
1	1	 B04	M	4347.69
1	1	 B05	M	5514.08
1	1	 B06	M	4215.61
1	1	 B07	M	5615.05
1	1	 B08	M	4372.47
1	1	 B09	M	5947.00
1	1	 B10	M	4050.74
1	1	 B11	M	6147.21
1	1	 B12	M	5138.50
1	1	 B13	M	7143.46
1	1	 B14	M	5154.58
1	1	 B15	M	5562.72
1	1	 B16	M	5961.87
1	1	 B17	M	6194.07
1	1	 B18	M	4551.03
1	1	 B19	M	7187.06
1	1	 B20	M	5314.01
1	1	 B21	M	5256.04
1	1	 B22	M	4774.34
1	1	 B23	M	5328.23
1	1	 B24	M	4618.48
1	1	 B25	M	6680.95
