;--------------------------------------------------------------------------------
;4 Results in list format
;--------------------------------------------------------------------------------

Plate	Repeat	Well	Type	Lum 1536 Jason	
4	1	 A01	M	3529.60
4	1	 A02	M	4251.56
4	1	 A03	M	4280.53
4	1	 A04	M	4068.94
4	1	 A05	M	4356.04
4	1	 A06	M	4008.02
4	1	 A07	M	4671.01
4	1	 A08	M	4291.38
4	1	 A09	M	4309.89
4	1	 A10	M	4573.14
4	1	 A11	M	4974.26
4	1	 A12	M	4230.23
4	1	 A13	M	4424.07
4	1	 A14	M	4795.44
4	1	 A15	M	5190.62
4	1	 A16	M	5101.61
4	1	 A17	M	5366.63
4	1	 A18	M	4488.37
4	1	 A19	M	4681.30
4	1	 A20	M	4503.75
4	1	 A21	M	4516.77
4	1	 A22	M	4475.59
4	1	 A23	M	4598.60
4	1	 A24	M	4608.94
4	1	 A25	M	4577.49
4	1	 A26	M	4588.98
4	1	 A27	M	4727.71
4	1	 A28	M	5723.33
4	1	 A29	M	5435.58
4	1	 A30	M	5196.12
4	1	 A31	M	4734.33
4	1	 A32	M	4653.00
4	1	 A33	M	4298.23
4	1	 A34	M	4198.68
4	1	 A35	M	4890.19
4	1	 A36	M	4816.91
4	1	 A37	M	6086.04
4	1	 A38	M	4962.56
4	1	 A39	M	5109.67
4	1	 A40	M	5278.05
4	1	 A41	M	5168.73
4	1	 A42	M	4873.94
4	1	 A43	M	4613.25
4	1	 A44	M	4578.37
4	1	 A45	M	5036.20
4	1	 A46	M	4935.85
4	1	 A47	M	4962.78
4	1	 A48	M	3748.92
4	1	 B01	M	4491.50
4	1	 B02	M	4581.25
4	1	 B03	M	4163.80
4	1	 B04	M	4149.28
4	1	 B05	M	4518.67
4	1	 B06	M	4256.49
4	1	 B07	M	4486.44
4	1	 B08	M	4193.16
4	1	 B09	M	4435.57
4	1	 B10	M	4189.07
4	1	 B11	M	4074.34
4	1	 B12	M	4420.08
4	1	 B13	M	4374.76
4	1	 B14	M	4031.27
4	1	 B15	M	4150.90
4	1	 B16	M	4240.34
4	1	 B17	M	4475.37
4	1	 B18	M	4681.18
4	1	 B19	M	4165.83
4	1	 B20	M	4352.73
4	1	 B21	M	4069.35
4	1	 B22	M	4114.70
4	1	 B23	M	4405.07
4	1	 B24	M	4254.78
4	1	 B25	M	5357.45
4	1	 B26	M	4543.34
4	1	 B27	M	4495.03
4	1	 B28	M	4587.24
4	1	 B29	M	4707.63
4	1	 B30	M	4642.57
4	1	 B31	M	4912.29
4	1	 B32	M	5246.56
4	1	 B33	M	5110.89
4	1	 B34	M	4816.01
4	1	 B35	M	4874.46
4	1	 B36	M	4487.45
4	1	 B37	M	4799.81
4	1	 B38	M	4618.26
4	1	 B39	M	4817.51
4	1	 B40	M	4420.47
4	1	 B41	M	4134.51
4	1	 B42	M	4098.73
4	1	 B43	M	4984.49
4	1	 B44	M	4552.22
4	1	 B45	M	4708.51
4	1	 B46	M	5057.26
4	1	 B47	M	4794.99
4	1	 B48	M	4796.31
4	1	 C01	M	4696.31
4	1	 C02	M	4386.18
4	1	 C03	M	3980.93
4	1	 C04	M	4027.54
4	1	 C05	M	4288.55
4	1	 C06	M	4874.61
4	1	 C07	M	4096.54
4	1	 C08	M	3979.75
4	1	 C09	M	3816.44
4	1	 C10	M	4533.62
4	1	 C11	M	4102.24
4	1	 C12	M	4424.82
4	1	 C13	M	4260.02
4	1	 C14	M	3675.41
4	1	 C15	M	4487.46
4	1	 C16	M	4506.17
4	1	 C17	M	4149.72
4	1	 C18	M	4532.57
4	1	 C19	M	4514.60
4	1	 C20	M	4454.63
4	1	 C21	M	4360.36
4	1	 C22	M	4617.27
4	1	 C23	M	4135.41
4	1	 C24	M	4606.82
4	1	 C25	M	4622.67
4	1	 C26	M	4533.23
4	1	 C27	M	4702.74
4	1	 C28	M	4330.22
4	1	 C29	M	4736.11
4	1	 C30	M	4496.26
4	1	 C31	M	4600.68
4	1	 C32	M	5023.29
4	1	 C33	M	4522.35
4	1	 C34	M	4685.10
4	1	 C35	M	4495.21
4	1	 C36	M	4949.52
4	1	 C37	M	4724.82
4	1	 C38	M	4841.97
4	1	 C39	M	4774.10
4	1	 C40	M	4605.55
4	1	 C41	M	4527.22
4	1	 C42	M	4166.92
4	1	 C43	M	4676.25
4	1	 C44	M	4735.37
4	1	 C45	M	4109.90
4	1	 C46	M	4709.14
4	1	 C47	M	4343.48
4	1	 C48	M	5080.79
4	1	 D01	M	4779.20
4	1	 D02	M	4375.84
4	1	 D03	M	3916.72
4	1	 D04	M	4028.78
4	1	 D05	M	4118.52
4	1	 D06	M	4326.12
4	1	 D07	M	4190.42
4	1	 D08	M	3717.74
4	1	 D09	M	4314.01
4	1	 D10	M	4132.74
4	1	 D11	M	4323.57
4	1	 D12	M	4562.63
4	1	 D13	M	3921.96
4	1	 D14	M	4554.23
4	1	 D15	M	4357.27
4	1	 D16	M	4176.21
4	1	 D17	M	4236.25
4	1	 D18	M	4766.80
4	1	 D19	M	4460.51
4	1	 D20	M	4377.53
4	1	 D21	M	4728.08
4	1	 D22	M	4578.57
4	1	 D23	M	4356.16
4	1	 D24	M	4559.69
4	1	 D25	M	4633.41
4	1	 D26	M	4692.06
4	1	 D27	M	4465.41
4	1	 D28	M	4856.57
4	1	 D29	M	4774.35
4	1	 D30	M	4741.24
4	1	 D31	M	4898.73
4	1	 D32	M	4293.02
4	1	 D33	M	4726.71
4	1	 D34	M	4852.54
4	1	 D35	M	4563.21
4	1	 D36	M	4334.47
4	1	 D37	M	4736.77
4	1	 D38	M	4580.61
4	1	 D39	M	5167.17
4	1	 D40	M	4697.63
4	1	 D41	M	4596.77
4	1	 D42	M	4755.10
4	1	 D43	M	4211.96
4	1	 D44	M	4331.02
4	1	 D45	M	4913.23
4	1	 D46	M	4451.88
4	1	 D47	M	4640.23
4	1	 D48	M	4769.19
4	1	 E01	M	4580.06
4	1	 E02	M	4458.50
4	1	 E03	M	4105.58
4	1	 E04	M	4358.04
4	1	 E05	M	4231.57
4	1	 E06	M	3987.10
4	1	 E07	M	4363.53
4	1	 E08	M	4205.68
4	1	 E09	M	3993.21
4	1	 E10	M	4085.30
4	1	 E11	M	3984.73
4	1	 E12	M	4784.48
4	1	 E13	M	3843.20
4	1	 E14	M	4251.88
4	1	 E15	M	3980.35
4	1	 E16	M	4240.93
4	1	 E17	M	4385.20
4	1	 E18	M	3875.26
4	1	 E19	M	4504.12
4	1	 E20	M	4089.00
4	1	 E21	M	4613.48
4	1	 E22	M	4403.16
4	1	 E23	M	4155.83
4	1	 E24	M	5296.15
4	1	 E25	M	4666.19
4	1	 E26	M	4471.94
4	1	 E27	M	4812.32
4	1	 E28	M	4531.73
4	1	 E29	M	5008.44
4	1	 E30	M	4631.74
4	1	 E31	M	4841.77
4	1	 E32	M	4564.22
4	1	 E33	M	4932.04
4	1	 E34	M	4675.30
4	1	 E35	M	4288.78
4	1	 E36	M	4537.74
4	1	 E37	M	4582.99
4	1	 E38	M	5000.99
4	1	 E39	M	4734.03
4	1	 E40	M	4593.46
4	1	 E41	M	4299.58
4	1	 E42	M	4588.08
4	1	 E43	M	4315.88
4	1	 E44	M	4336.80
4	1	 E45	M	4500.77
4	1	 E46	M	4625.23
4	1	 E47	M	4337.22
4	1	 E48	M	5285.01
4	1	 F01	M	4357.30
4	1	 F02	M	4454.98
4	1	 F03	M	4206.34
4	1	 F04	M	4448.39
4	1	 F05	M	3942.07
4	1	 F06	M	3902.99
4	1	 F07	M	4359.54
4	1	 F08	M	4341.43
4	1	 F09	M	4117.09
4	1	 F10	M	4197.46
4	1	 F11	M	4447.87
4	1	 F12	M	4115.67
