Well,Row,Column,Cmpd,Conc
AE43,AE,43,Cmpd06,9e-4
AE44,AE,44,Cmpd06,6e-4
AE45,AE,45,Cmpd06,4.5e-4
AE46,AE,46,Cmpd06,3e-4
AE47,AE,47,Cmpd06,1.5e-4
AE48,AE,48,TOTB,0
AF01,AF,1,NSB,0
AF02,AF,2,Cmpd11,10
AF03,AF,3,Cmpd11,5
AF04,AF,4,Cmpd11,2
AF05,AF,5,Cmpd11,1
AF06,AF,6,Cmpd11,0.5
AF07,AF,7,Cmpd11,0.25
AF08,AF,8,Cmpd11,0.1
AF09,AF,9,Cmpd11,0.05
AF10,AF,10,Cmpd11,0.03
AF11,AF,11,Cmpd11,0.024
AF12,AF,12,Cmpd11,0.018
AF13,AF,13,Cmpd11,0.012
AF14,AF,14,Cmpd11,0.009
AF15,AF,15,Cmpd11,0.006
AF16,AF,16,Cmpd11,0.003
AF17,AF,17,Cmpd11,0.002
AF18,AF,18,Cmpd11,0.001
AF19,AF,19,Cmpd11,9e-4
AF20,AF,20,Cmpd11,6e-4
AF21,AF,21,Cmpd11,4.5e-4
AF22,AF,22,Cmpd11,3e-4
AF23,AF,23,Cmpd11,1.5e-4
AF24,AF,24,NSB,0
AF25,AF,25,TOTB,0
AF26,AF,26,Cmpd11,10
AF27,AF,27,Cmpd11,5
AF28,AF,28,Cmpd11,2
AF29,AF,29,Cmpd11,1
AF30,AF,30,Cmpd11,0.5
AF31,AF,31,Cmpd11,0.25
AF32,AF,32,Cmpd11,0.1
AF33,AF,33,Cmpd11,0.05
AF34,AF,34,Cmpd11,0.03
AF35,AF,35,Cmpd11,0.024
AF36,AF,36,Cmpd11,0.018
AF37,AF,37,Cmpd11,0.012
AF38,AF,38,Cmpd11,0.009
AF39,AF,39,Cmpd11,0.006
AF40,AF,40,Cmpd11,0.003
AF41,AF,41,Cmpd11,0.002
AF42,AF,42,Cmpd11,0.001
AF43,AF,43,Cmpd11,9e-4
AF44,AF,44,Cmpd11,6e-4
AF45,AF,45,Cmpd11,4.5e-4
AF46,AF,46,Cmpd11,3e-4
AF47,AF,47,Cmpd11,1.5e-4
AF48,AF,48,TOTB,0
